,x
1,76
2,40
3,50
4,78
5,80
6,76
7,40
8,54
9,74
10,78
11,74
12,38
13,48
14,74
15,74
16,78
17,20
18,44
19,72
20,74
21,76
22,32
23,44
24,80
25,70
26,86
27,68
28,72
29,82
30,88
31,84
32,72
33,60
34,82
35,84
36,78
37,60
38,64
39,86
40,88
41,90
42,62
43,70
44,82
45,84
46,88
47,60
48,64
49,84
50,86
51,90
52,78
53,70
54,94
55,94
56,86
57,76
58,84
59,96
60,88
61,82
62,60
63,82
64,84
65,80
66,90
67,56
68,72
69,92
70,94
71,90
72,70
73,86
74,92
75,92
76,100
77,90
78,92
79,99
80,99
81,94
82,86
83,86
84,90
85,94
86,99
87,88
88,90
89,94
90,96
91,98
92,80
93,90
94,99
95,96
96,96
97,80
98,90
99,99
100,96
101,76
102,52
103,52
104,82
105,74
106,82
107,36
108,36
109,82
110,80
111,82
112,32
113,42
114,80
115,74
116,80
117,34
118,44
119,76
120,74
121,72
122,26
123,42
124,72
125,72
126,99
127,92
128,86
129,94
130,96
131,99
132,86
133,96
134,99
135,94
136,94
137,88
138,90
139,99
140,99
141,99
142,80
143,90
144,99
145,99
146,99
147,76
148,94
149,99
150,99
151,68
152,46
153,44
154,76
155,72
156,74
157,42
158,46
159,68
160,80
161,78
162,36
163,52
164,76
165,76
166,76
167,34
168,46
169,74
170,74
171,72
172,28
173,40
174,72
175,76
176,84
177,40
178,42
179,80
180,80
181,84
182,56
183,60
184,82
185,86
186,86
187,60
188,62
189,84
190,80
191,84
192,36
193,60
194,82
195,84
196,78
197,48
198,54
199,82
200,82
201,32
202,-12
203,-12
204,30
205,20
206,40
207,-22
208,-10
209,22
210,24
211,14
212,-16
213,56
214,20
215,16
216,42
217,-20
218,2
219,16
220,14
221,30
222,-40
223,-20
224,36
225,18
226,44
227,-30
228,-10
229,44
230,28
231,52
232,-20
233,-6
234,30
235,44
236,50
237,-24
238,-18
239,50
240,42
241,48
242,-14
243,-26
244,46
245,22
246,46
247,-20
248,-16
249,38
250,48
251,40
252,24
253,32
254,44
255,46
256,60
257,22
258,30
259,50
260,60
261,56
262,24
263,32
264,50
265,56
266,58
267,18
268,38
269,56
270,54
271,56
272,20
273,28
274,46
275,52
276,30
277,-10
278,-12
279,30
280,25
281,41
282,-18
283,-7
284,20
285,22
286,16
287,-16
288,-4
289,22
290,14
291,42
292,-16
293,2
294,12
295,10
296,26
297,-22
298,-14
299,32
300,20
301,60
302,34
303,36
304,56
305,60
306,56
307,24
308,30
309,62
310,60
311,50
312,34
313,28
314,60
315,62
316,50
317,22
318,20
319,62
320,60
321,70
322,18
323,20
324,64
325,66
326,86
327,40
328,42
329,72
330,78
331,82
332,82
333,46
334,50
335,82
336,82
337,44
338,50
339,76
340,76
341,86
342,40
343,48
344,84
345,82
346,78
347,42
348,44
349,76
350,80
351,82
352,44
353,44
354,76
355,76
356,80
357,80
358,40
359,48
360,80
361,82
362,46
363,54
364,78
365,74
366,84
367,38
368,48
369,84
370,82
371,80
372,40
373,44
374,78
375,82
376,80
377,36
378,44
379,76
380,78
381,84
382,60
383,60
384,86
385,90
386,86
387,62
388,60
389,80
390,80
391,86
392,40
393,66
394,84
395,86
396,78
397,44
398,54
399,86
400,84
401,34
402,30
403,32
404,44
405,28
406,30
407,-12
408,10
409,22
410,24
411,14
412,-6
413,56
414,20
415,16
416,42
417,-20
418,2
419,16
420,14
421,26
422,4
423,0
424,40
425,18
426,32
427,30
428,34
429,40
430,30
431,28
432,-10
433,10
434,20
435,24
436,14
437,-8
438,42
439,26
440,20
441,40
442,-22
443,0
444,14
445,14
446,26
447,0
448,0
449,38
450,20
451,20
452,0
453,2
454,22
455,12
456,12
457,0
458,2
459,14
460,16
461,20
462,4
463,-4
464,18
465,16
466,16
467,2
