,x
1,26.8886154
2,24.0632241
3,47.51582059
4,2.126831127
5,47.58635419
6,50.06002592
7,26.62339329
8,71.96255996
9,73.69723373
10,17.98570951
11,21.4883356
12,21.32776371
13,49.05978648
14,13.60707235
15,75.73922794
16,20.67171682
17,37.06517611
18,40.10891679
19,1.571873729
20,13.57958799
21,19.5845705
22,5.831100664
23,34.70564689
24,33.31429413
25,28.19737429
26,51.62190853
27,55.27637145
28,14.11609154
29,28.41522329
30,41.52339687
31,15.77189806
32,32.02769538
33,43.17090647
34,1.534950141
35,11.11065538
36,27.55018583
37,7.170837693
38,30.19903029
39,66.74950767
40,29.58712422
41,54.89834317
42,67.3026444
43,13.51744578
44,33.44897797
45,50.16438472
46,10.65781182
47,14.7478961
48,18.27868619
49,2.475057616
50,6.119058475
51,5.449924218
52,7.802080337
53,14.23417841
54,15.41389344
55,9.46569581
56,15.23875818
57,19.59428889
58,7.787908452
59,9.677591971
60,13.17521743
61,14.01864146
62,30.5912617
63,38.15573638
64,0.456472494
65,3.867385769
66,7.024622197
67,2.84616447
68,18.8690087
69,25.0736586
70,21.66658644
71,48.48749388
72,58.61075678
73,4.169292721
74,11.38334579
75,24.41818234
76,14.96739578
77,30.28625472
78,39.57783871
79,0.339837285
80,3.12306153
81,5.140109821
82,3.920306162
83,15.39753007
84,22.45064906
85,23.68617418
86,42.69485888
87,54.83360857
88,6.351542297
89,14.16472216
90,17.378304
91,3.606676847
92,35.07866175
93,43.31814591
94,29.29817829
95,37.56535564
96,0.960810012
97,59.0196812
98,70.96873006
99,35.13952712
100,37.65445791
101,51.10248957
102,3.963450153
103,31.93031022
104,48.70823186
105,5.008760546
106,35.08872433
107,41.2456065
108,13.9769471
109,18.89524916
110,0.705195152
111,32.63234102
112,31.81837229
113,30.4254394
114,53.63578043
115,59.4767437
116,2.014671714
117,26.51352578
118,36.85037948
119,4.820162197
120,34.80628557
121,46.63249784
122,11.74218494
123,26.65189435
124,0.546829898
125,35.87055638
126,68.84449525
127,33.8754215
128,63.0697188
129,70.62989218
130,2.481415648
131,31.6780045
132,46.01420049
133,22.16644806
134,23.21156884
135,34.74876407
136,0.948128865
137,16.64966496
138,19.99982627
139,4.992379236
140,53.99699311
141,57.37548977
142,22.61165831
143,28.75149591
144,26.98890626
145,20.85782482
146,20.73475671
147,30.87112941
148,20.36096013
149,38.91690391
150,41.70005044
151,0.940121626
152,14.90450687
153,19.596159
154,4.179760101
155,39.00815943
156,37.1696242
157,31.61725517
158,51.21654271
159,57.55128922
160,16.17382734
161,26.58751317
162,40.41327646
163,16.96531636
164,34.37725511
165,43.5835106
166,0.828206999
167,13.33632103
168,26.96354436
169,4.206951598
170,39.80435813
171,66.76359549
172,38.14302674
173,56.51667394
174,67.97172842
175,13.29271578
176,32.5166032
177,47.33481015
178,43.24687429
179,47.07201706
180,46.67923287
181,1.477833017
182,52.01663098
183,49.5332891
184,15.23801636
185,76.0080606
186,63.58868193
187,56.11678026
188,74.02586359
189,72.10640605
190,60.16915393
191,76.23980932
192,73.24593194
193,33.75312128
194,43.98434681
195,45.01345928
196,1.141182686
197,45.26243148
198,48.87745577
199,5.1621109
200,70.20039276
201,76.21778678
202,68.57268466
203,82.68657767
204,81.20984491
205,45.5729521
206,80.41522119
207,87.27732283
208,46.27953078
209,50.46562134
210,51.209226
211,1.507859973
212,54.82010788
213,55.70113322
214,5.937925103
215,83.76110277
216,78.83510746
217,80.94739685
218,94.39775173
219,95.42335131
220,65.0220022
221,98.03589777
222,99.68653196
223,15.4176361
224,18.97417112
225,16.81589184
226,2.663355036
227,16.04854773
228,21.9766332
229,7.641917878
230,28.39231834
231,26.6748995
232,29.97543001
233,36.30636065
234,36.58798902
235,10.54082024
236,26.25688388
237,28.58964812
238,16.88486051
239,41.29698409
240,43.73298112
241,0.655700656
242,33.62905648
243,41.48980841
244,2.599454304
245,66.02401389
246,72.39052533
247,68.84655406
248,82.1847816
249,80.58917239
250,15.19452071
251,83.87445444
252,86.003404
253,30.01215681
254,51.39708789
255,50.13634297
256,2.942173839
257,34.96324083
258,51.01008234
259,15.31942872
260,81.56943098
261,77.57371189
262,86.68959994
263,92.91423383
264,97.56849953
265,35.55504656
266,98.73132029
267,98.28722602
268,5.980979595
269,50.58289676
270,45.08048043
271,42.11946098
272,49.11143206
273,0.705225291
274,70.86219062
275,66.44951759
276,65.93988128
277,66.07082051
278,66.20793624
279,6.110691586
280,67.81850094
281,72.63064909
282,7.837919121
283,46.74711139
284,46.25838016
285,37.03037628
286,43.69560153
287,0.595872872
288,70.54955286
289,80.90409924
290,70.2055639
291,83.08846167
292,85.14465222
293,3.149733367
294,78.08461533
295,82.13737482
296,7.782359234
297,53.59986981
298,51.75674767
299,49.61438009
300,53.675534
301,0.646778821
302,86.59757822
303,84.89551287
304,91.39064225
305,97.29293259
306,99.61910732
307,4.166287009
308,92.57247896
309,94.69105416
310,45.04873884
311,45.78100103
312,44.65371267
313,0.924541619
314,44.55887608
315,43.35721014
316,3.420166341
317,72.84831426
318,65.31185167
319,56.83280355
320,76.33726193
321,73.22050209
322,36.47724246
323,68.55764886
324,69.0890435
325,31.88044847
326,44.81754321
327,46.6498955
328,0.668792684
329,39.52986412
330,43.87183311
331,2.74612364
332,72.63770939
333,82.32885806
334,73.64322424
335,87.90201497
336,86.21979782
337,34.20844443
338,77.33294235
339,80.60055876
340,42.28229272
341,50.28665363
342,49.58296909
343,1.18600639
344,48.46327508
345,49.9274003
346,4.582095156
347,78.80108905
348,79.44483195
349,84.85609846
350,93.31083413
351,93.87454124
352,44.02752342
353,89.48065113
354,91.48509414
355,11.26422659
356,37.48204887
357,41.44106124
358,38.30431575
359,53.10400856
360,3.075984359
361,77.3614474
362,66.8623452
363,65.32713775
364,80.44006159
365,73.90288444
366,10.6093201
367,47.24014126
368,59.52653189
369,34.71645259
370,43.57302345
371,48.32439551
372,0.607063773
373,28.83783854
374,37.43255163
375,2.85991864
376,70.01345936
377,78.088776
378,70.19867654
379,81.98080261
380,85.25720997
381,39.12894222
382,76.74229373
383,84.97992801
384,33.61043599
385,49.6136763
386,47.45149232
387,0.928544459
388,31.04337853
389,43.13871983
390,81.91726557
391,84.29748871
392,86.21497352
393,92.93093214
394,98.03384571
395,43.93331318
396,94.93580173
397,96.14798667
398,7.372693174
399,9.714563227
400,9.546870881
401,1.022402294
402,12.592787
403,14.01241706
404,4.337310253
405,19.47378974
406,23.2960789
407,24.90011385
408,28.47849533
409,33.33065232
410,6.753074014
411,15.06136862
412,15.12671706
413,3.88663609
414,25.83457198
415,44.5879911
416,15.16664871
417,40.37403082
418,27.79577337
419,72.31351298
420,32.00160024
421,51.8134607
422,83.36436834
423,2.641901391
424,57.97752811
425,80.28994263
426,9.564949769
427,37.21381762
428,47.09764929
429,1.100030526
430,35.70389569
431,54.89240735
432,57.45048731
433,77.02732986
434,69.39855223
435,85.4419715
436,92.00324978
437,21.86178566
438,83.65433196
439,92.95670274
440,1.297818598
441,28.35051675
442,40.1812432
443,40.45135336
444,42.27311559
445,0.910655456
446,62.16368477
447,66.88608561
448,76.83418769
449,91.6524383
450,66.37274183
451,2.534585496
452,47.17441756
453,52.43589363
454,3.542495517
455,39.19686382
456,45.87563784
457,24.02819715
458,39.3913488
459,50.04747607
460,74.62438876
461,54.58472012
462,74.81544975
463,84.20189779
464,2.234092607
465,71.60789091
466,72.77189285
467,4.275083316
468,40.44190447
469,46.6599306
470,46.64994849
471,45.97105208
472,72.38342011
473,82.71053034
474,77.8707536
475,96.59121826
476,97.94800557
477,3.498335753
