Reaction_No,Reactant_1_Name,Reactant_2_Name,Catalyst_1_Short_Hand,Ligand_Short_Hand,Reagent_1_Short_Hand,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,,
1,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaOH,MeCN,4.76,,
2,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaOH,MeCN,4.12,,
3,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaOH,MeCN,2.58,,
4,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaOH,MeCN,4.44,,
5,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaOH,MeCN,1.95,,
6,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaOH,MeCN,3.25,,
7,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaOH,MeCN,86.26,,
8,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaOH,MeCN,7.55,,
9,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaOH,MeCN,93.67,,
10,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaOH,MeCN,14.32,,
11,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaOH,MeCN,2.11,,
12,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaOH,MeCN,17.09,,
13,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,NaHCO3,MeCN,3.16,,
14,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,NaHCO3,MeCN,4.75,,
15,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,NaHCO3,MeCN,2.46,,
16,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,NaHCO3,MeCN,5.27,,
17,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(o-Tol)3,NaHCO3,MeCN,1.96,,
18,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,CataCXium A,NaHCO3,MeCN,3.35,,
19,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,SPhos,NaHCO3,MeCN,69.22,,
20,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dtbpf,NaHCO3,MeCN,5.10,,
21,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,XPhos,NaHCO3,MeCN,83.19,,
22,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,dppf,NaHCO3,MeCN,13.68,,
23,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,Xantphos,NaHCO3,MeCN,1.82,,
24,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,None,NaHCO3,MeCN,10.99,,
25,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(tBu)3,CsF,MeCN,1.79,,
26,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Ph)3 ,CsF,MeCN,4.36,,
27,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,AmPhos,CsF,MeCN,2.71,,
28,6-chloroquinoline,"2a, Boronic Acid",Pd(OAc)2,P(Cy)3,CsF,MeCN,6.49,,
