Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
16,2.28493,-1.25419,-0.09406,-0.149489,0.02319,471.6918000000
6,0.4528,0.79308,-0.01456,0.102724,-0.04653,27.8040000000
6,0.61495,-0.60424,-0.0506,0.024263,-0.14684,22.7295000000
6,-0.84816,1.30148,0.01939,-0.161538,-0.19203,33.6699000000
6,1.64281,1.71783,-0.01244,-0.513551,-0.63166,163.4367000000
6,-0.50114,-1.4455,-0.0519,-0.168564,-0.22719,37.5353000000
6,-1.9629,0.46808,0.01823,-0.154826,-0.22178,40.1312000000
6,-1.78505,-0.91168,-0.01763,-0.167151,-0.20550,37.5925000000
1,-0.98455,2.37877,0.04734,0.138916,0.21064,24.0192000000
1,2.29094,1.53999,0.8524,0.170871,0.22455,29.6133000000
1,2.26158,1.58182,-0.9059,0.170870,0.22455,29.6133000000
1,1.32897,2.76254,0.01764,0.138398,0.21851,29.7027000000
1,-0.37056,-2.52283,-0.07976,0.139267,0.21108,24.1048000000
1,-2.96063,0.89327,0.04511,0.142006,0.21543,24.0192000000
1,-2.64199,-1.57762,-0.01909,0.142995,0.21581,24.0192000000
1,1.93298,-2.5568,-0.11929,0.144806,0.12778,27.9946000000
16,3.54723,-0.25303,0.00022,-0.157191,0.02641,473.1901000000
8,-2.36888,0.47454,0.00007,-0.283420,-0.46700,232.2976000000
6,-1.0315,0.20444,0.00006,0.276522,0.28053,6.4388000000
6,-0.47352,-1.075,0.00004,-0.258981,-0.29181,58.7483000000
6,-0.18189,1.31732,0.00008,-0.210491,-0.23461,46.9340000000
6,1.75975,-0.12723,0.00003,0.038826,-0.18384,34.6816000000
6,0.91358,-1.23293,0.00008,-0.188964,-0.21173,38.1698000000
6,1.19343,1.15425,0.00002,-0.126973,-0.21024,37.9897000000
6,-3.27608,-0.61493,0.00006,-0.297825,-0.25316,130.4318000000
1,-1.09838,-1.95924,0.00004,0.159486,0.22023,24.7055000000
1,-0.62508,2.30687,0.00007,0.154000,0.22788,24.3513000000
