HOMO,LUMO,Dipole,Volumn,Zero-point Energy
-0.27092,0.01703,0.744,1121.162,-669.7248207
-0.25664,0.01236,2.4547,1229.291,-744.9371169
-0.29011,0.04892,1.8794,1165.455,-634.026071
-0.29204,0.04426,1.6853,631.463,-477.9895777
-0.27359,0.01353,1.1529,1020.099,-630.4126154
-0.29976,-0.03975,9.1016,4979.493,-3227.597198
-0.26628,-0.04131,4.6719,6462.802,-2503.357811
-0.25484,-0.02468,2.6235,4862.645,-2332.525441
-0.24106,-0.04818,4.7168,5627.652,-2641.429343
-0.26665,-0.01135,3.18,5853.346,-2348.515825
-0.25892,-0.0427,2.922,6072.567,-2643.781687
-0.26214,-0.0432,5.0478,5911.042,-2643.776233
-0.26259,-0.02207,3.9325,6276.112,-2648.582005
-0.26318,-0.03721,2.4386,5120.01,-2188.891421
-0.23591,-0.05656,4.9169,5463.301,-2488.945619
-0.30594,-0.05931,2.802,1940.533,-709.3623117
-0.27897,-0.06571,3.075,2120.193,-823.6841926
-0.26202,-0.03588,2.6714,5185.837,-2339.333829
-0.26326,-0.03731,2.4665,4179.845,-1953.046974
-0.26445,-0.02225,4.7403,4798.17,-2188.047378
-0.26633,-0.03968,3.2842,4795.694,-2182.076004
-0.25659,-0.00619,4.5074,5154.403,-2265.518784
-0.28767,-0.05704,4.0383,2062.562,-784.5808906
-0.25781,-0.03661,3.5621,4360.602,-2103.47948
-0.29322,-0.02462,5.0646,5057.255,-4636.841413
-0.23637,-0.05021,3.0563,7062.863,-3258.293885
-0.2798,-0.00677,3.7478,3384.106,-1574.384749
-0.26505,-0.04028,3.0571,8457.682,-3122.666253
-0.27396,-0.01757,4.271,9015.182,-3275.121322
-0.27901,-0.05699,10.4198,6527.601,-3684.875451
-0.23021,-0.04833,2.9353,11131.305,-4328.106944
-0.28289,-0.01452,3.6856,7334.679,-3384.811955
-0.26532,-0.03751,3.415,6845.058,-3380.005279
-0.29194,-0.02449,6.4507,3232.637,-6564.338703
-0.27804,-0.05011,5.4323,2820.517,-6559.529504
-0.25136,-0.04356,4.8118,7554.734,-3256.702746
-0.25467,-0.02538,4.2118,6471.221,-2509.297312
-0.26369,-0.03739,2.9473,6026.988,-2503.359483
-0.26624,-0.03677,3.3082,6275.258,-2996.551191
-0.27943,-0.04731,4.6878,5221.832,-3301.405101
-0.23734,-0.05069,3.0957,5810.516,-2567.560786
-0.30267,-0.03225,6.7545,5486.199,-3306.212219
-0.2601,-0.00779,3.2878,4804.944,-2186.901664
-0.31944,-0.07812,1.542,2051.098,-1007.143534
-0.2661,-0.03997,3.1921,3909.546,-1874.427097
-0.28545,-0.05974,8.3817,8271.56,-5495.328032
-0.28723,-0.08094,12.3753,4602.051,-3667.839752
-0.26569,-0.03783,3.1091,8833.3,-3282.271993
-0.259,-0.03518,3.4475,5451.237,-2417.960435
-0.26984,-0.04231,4.9687,6741.459,-2581.968153
-0.26662,-0.03786,2.8912,4621.141,-2110.289286
-0.26626,-0.03934,4.3194,4400.749,-2500.484805
-0.31064,-0.06428,2.7299,1787.93,-670.0525089
