Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
1,-2.14194,-0.91661,4.53525,0.142797,0.21499,23.4930000000
6,-1.38966,-0.83106,3.75522,-0.169995,-0.21722,35.7804000000
6,0.53479,-0.60338,1.70944,0.019894,-0.02311,8.1745000000
6,-1.77207,-0.52388,2.44979,-0.211665,-0.21066,29.5826000000
6,-0.04197,-1.03069,4.04722,-0.125271,-0.19957,34.9380000000
6,0.90251,-0.91694,3.02898,-0.236935,-0.21353,30.5330000000
6,-0.83674,-0.40306,1.40654,-0.057067,-0.31059,17.7546000000
1,-2.82822,-0.38522,2.24111,0.185551,0.20893,23.3550000000
1,0.27387,-1.27819,5.05732,0.145067,0.21574,23.6335000000
1,1.95386,-1.0819,3.24914,0.185448,0.21623,23.8973000000
15,-1.33856,-0.02691,-0.35653,0.164156,0.81098,292.5774000000
6,1.64017,-0.51039,0.68814,0.114275,-0.06364,23.1639000000
6,3.81379,-0.38714,-1.12448,0.091198,0.00536,11.2446000000
6,1.97277,-1.63629,-0.10021,0.137775,0.03289,12.5712000000
6,2.40697,0.67498,0.57469,0.121015,0.01736,13.9668000000
6,3.47323,0.71056,-0.33059,-0.256669,-0.22997,44.0031000000
6,3.05201,-1.54787,-0.98632,-0.188504,-0.22128,41.4679000000
1,4.05729,1.62324,-0.41569,0.191465,0.20275,24.0200000000
1,3.31205,-2.41337,-1.59138,0.163334,0.20322,24.0200000000
6,1.21962,-2.96007,0.02143,-0.311570,-0.24350,149.5655000000
1,0.29721,-2.77003,0.57789,0.161713,0.21553,29.5818000000
6,0.81103,-3.54516,-1.3427,-0.447003,-0.59627,161.4225000000
1,1.67984,-3.86149,-1.93154,0.143668,0.19687,30.3689600000
1,0.25056,-2.8132,-1.93331,0.165754,0.21970,30.3689600000
1,0.17808,-4.42922,-1.19874,0.150430,0.20539,31.0216200000
6,2.03811,-3.98368,0.83411,-0.402415,-0.58828,157.7876333333
1,2.98919,-4.21171,0.33769,0.143596,0.20049,31.0216200000
1,1.48248,-4.92296,0.94586,0.143472,0.20435,31.1306000000
1,2.2665,-3.60359,1.83593,0.141087,0.20943,31.0216200000
6,4.97042,-0.3286,-2.114,-0.229487,-0.22977,146.2281000000
1,5.04316,-1.31992,-2.58227,0.123553,0.19833,29.0194000000
6,6.31583,-0.04892,-1.41872,-0.418770,-0.59137,157.2455000000
1,6.52445,-0.79546,-0.64455,0.150363,0.21133,30.6296583333
1,6.32055,0.9379,-0.9407,0.137967,0.19935,30.3689600000
1,7.13806,-0.06977,-2.14421,0.142414,0.20506,30.6296583333
6,4.70695,0.69172,-3.23788,-0.416481,-0.59092,156.8365000000
1,4.63441,1.71085,-2.83972,0.139165,0.20000,30.6296583333
1,3.76974,0.4709,-3.76018,0.152122,0.21267,30.6296583333
1,5.52084,0.67759,-3.97295,0.141269,0.20428,30.6296583333
6,2.13282,1.9066,1.43992,-0.349311,-0.24389,149.0533000000
1,1.1436,1.78481,1.89395,0.177422,0.21400,29.6729000000
6,2.10503,3.21758,0.63153,-0.436449,-0.59600,161.1769000000
1,1.77306,4.04676,1.26778,0.155140,0.20767,30.9082000000
1,1.4242,3.14891,-0.22344,0.150059,0.21053,30.8029000000
1,3.09615,3.48286,0.2459,0.147047,0.19973,30.3689600000
6,3.15306,2.01386,2.59166,-0.386177,-0.58759,156.2600000000
1,3.13366,1.12299,3.22771,0.134985,0.20883,30.6296583333
1,2.93668,2.88514,3.22224,0.144714,0.20478,31.0216200000
1,4.17215,2.12397,2.20179,0.145616,0.20150,31.0216200000
6,-1.61464,1.8562,-0.22736,-0.214922,-0.47444,142.2807000000
6,-1.58006,4.05841,-1.51632,-0.281464,-0.39471,154.9635000000
6,-2.90925,3.87622,0.63067,-0.277749,-0.39150,153.9160000000
6,-2.82911,4.52772,-0.75695,-0.263658,-0.39675,156.7374000000
6,-2.85963,2.33992,0.53906,-0.336367,-0.40923,157.7876333333
6,-1.51784,2.52455,-1.6171,-0.320242,-0.40861,149.4693000000
1,-0.68371,4.42216,-0.99263,0.150524,0.19348,30.7347000000
1,-2.06767,4.22849,1.24531,0.147064,0.19322,30.9082000000
1,-3.72695,4.2608,-1.33465,0.138082,0.19132,30.8029000000
1,-3.76957,1.98961,0.0318,0.156749,0.19036,30.6296583333
1,-2.3395,2.17735,-2.25816,0.160530,0.19509,30.6296583333
1,-0.73292,2.18182,0.34349,0.120249,0.22028,30.9082000000
1,-1.55456,4.49983,-2.52117,0.143803,0.20830,30.3689600000
1,-3.82566,4.1889,1.14844,0.141865,0.20674,30.1437000000
1,-2.83127,5.62151,-0.66531,0.142851,0.20722,30.3689600000
1,-2.8729,1.91078,1.54779,0.160387,0.21075,29.8121000000
1,-0.59035,2.21392,-2.11309,0.172802,0.21900,30.3689600000
6,-3.0792,-0.76854,-0.44921,-0.225003,-0.49029,147.7045000000
6,-5.10217,-1.10389,-1.97821,-0.269493,-0.39221,155.0705000000
6,-4.3934,-2.96212,-0.41817,-0.265962,-0.39164,156.4070000000
6,-5.02997,-2.6224,-1.77229,-0.271660,-0.39653,157.7876333333
6,-3.014,-2.30053,-0.25884,-0.360581,-0.40903,153.9874000000
6,-3.72435,-0.43894,-1.81399,-0.354425,-0.40549,151.8443000000
