HOMO,LUMO,Dipole,Volumn,Zero-point energy
-0.25826,0.00102,1.2784,4858.471,-1628.280359
-0.24044,-0.00405,1.3054,4349.074,-1473.42124
-0.24626,-0.00119,3.6412,4653.768,-1702.472914
-0.23891,0.04013,5.1458,3156.106,-1544.293294
-0.26526,0.00271,3.9939,2300.949,-842.0712509
-0.27123,0.00951,3.1221,2191.379,-842.0690304
-0.25586,0.04866,2.8363,1425.688,-478.0947972
-0.34304,-0.03784,4.7182,977.25,-473.9114666
-0.29023,-0.04642,3.8712,1509.399,-1025.714723
-0.28692,-0.03899,3.9027,1472.359,-702.738341
-0.34174,-0.01589,2.7572,1094.12,-513.2281059
-0.34838,-0.02733,2.7129,1158.062,-513.2129602
-0.32807,-0.01001,4.1499,1336.728,-552.5455308
-0.32514,-0.01791,5.029,1206.497,-552.5380903
-0.33601,-0.03163,4.8847,1285.669,-552.5376932
-0.33066,-0.03241,3.5927,1283.198,-627.7522207
-0.28779,0.0348,1.1533,1811.459,-519.7636495
-0.30799,-0.02328,3.2229,1006.17,-399.6681901
-0.27909,-0.04103,3.2577,998.569,-399.6487953
-0.24329,-0.00037,3.563,5377.205,-2166.995418
-0.28894,-0.02867,3.2851,1273.66,-477.0776932
-0.31057,-0.03864,2.5872,1191.322,-493.1393637
-0.31522,0.01966,3.3241,748.76,-285.346752
-0.27733,0.00588,3.5325,1233.298,-494.3165679
-0.29813,-0.03782,4.0633,1284.037,-675.576872
-0.29024,-0.01166,3.3158,1278.542,-477.0725618
-0.29787,-0.01727,2.7881,1221.636,-477.075516
-0.32466,0.01616,3.0391,721.652,-285.3436834
-0.28496,-0.02611,3.0797,1388.68,-516.3909598
-0.3032,-0.01434,2.0072,1077.126,-545.296176
-0.31778,-0.0139,2.0883,877.131,-707.8675299
-0.31371,-0.01494,2.0878,893.696,-2821.861099
-0.30929,0.02231,3.1908,873.838,-324.6597518
-0.30069,-0.0145,3.3406,993.925,-545.2975181
-0.31847,-0.01334,3.4746,907.272,-707.8712439
-0.31355,-0.01475,3.534,835.15,-2821.863759
-0.274,0.00275,2.6913,1337.926,-643.78183
-0.30895,-0.02243,1.5351,1282.658,-866.3477946
-0.28483,0.00149,2.2488,1513.402,-607.8735519
-0.27883,0.00628,2.7518,1124.728,-806.3532075
-0.29369,0.00843,2.3326,1247.937,-770.4452989
-0.32538,-0.02015,1.2801,1218.016,-1028.919825
-0.27807,0.00521,2.8452,1171.122,-2920.346883
-0.29165,0.0073,2.4318,1265.566,-2884.438855
-0.3205,-0.02178,1.253,1174.174,-3142.913175
