Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
6,5.85131,0.92139,2.43877,-0.417834,-0.59073,159.1519000000
6,4.54559,1.72781,2.32786,-0.234109,-0.22933,147.5596000000
6,3.86299,1.86562,3.69984,-0.415865,-0.59057,157.7729000000
6,3.60353,1.14905,1.28283,0.109114,0.00479,11.7223000000
6,3.24845,1.88094,0.15716,-0.189081,-0.21668,34.3470000000
6,2.37581,1.40417,-0.83306,0.113344,0.01916,12.0059000000
6,1.78486,0.12856,-0.64807,0.059964,-0.06890,23.6952000000
6,2.18347,-0.65753,0.46289,0.136402,0.03628,11.1825000000
6,3.07473,-0.13454,1.39858,-0.262419,-0.22948,44.3720000000
6,1.74549,-2.11192,0.61723,-0.272666,-0.24804,150.9451000000
6,2.81736,-3.05742,0.03968,-0.402080,-0.58743,157.3299500000
6,1.40303,-2.50235,2.06351,-0.462562,-0.60040,162.1214000000
6,0.79817,-0.42444,-1.65012,0.160323,-0.01493,6.2781000000
6,1.31641,-0.91297,-2.85976,-0.280584,-0.21777,29.3276000000
6,0.49725,-1.35,-3.89457,-0.107589,-0.20144,37.7295000000
6,-0.88462,-1.30211,-3.73865,-0.155836,-0.21872,36.3729000000
6,-1.41626,-0.87685,-2.52601,-0.182772,-0.21118,29.1280000000
6,-0.60828,-0.46265,-1.45529,-0.221658,-0.30451,17.0652000000
15,-1.3708,-0.15115,0.23367,0.185792,0.79889,283.9985000000
6,-2.5379,-1.65497,0.34335,-0.193569,-0.46909,139.1145000000
6,-1.83855,-3.0146,0.1936,-0.398631,-0.41579,161.0425000000
6,-2.87226,-4.15758,0.06945,-0.275523,-0.39353,162.4642000000
6,-4.13122,-3.91605,0.93488,-0.278903,-0.40104,165.5849000000
6,-3.79744,-3.02639,2.13541,-0.261110,-0.39606,162.9146000000
6,-3.33304,-1.62388,1.68019,-0.375138,-0.40778,155.5046000000
6,-2.70172,1.18731,-0.05941,-0.184080,-0.47297,142.8317000000
6,-3.105,1.82418,1.30356,-0.334237,-0.40769,153.1723000000
6,-3.70788,3.24091,1.15461,-0.265206,-0.39774,166.4198000000
6,-4.47074,3.38423,-0.16467,-0.280377,-0.40069,165.5849000000
6,-3.51321,3.2107,-1.36496,-0.263626,-0.39413,163.0372000000
